id,sku,name,slug,short_desc,description,long_description,specifications,features,category_id,unit_price,currency,stock_quantity,lead_time_days,weight_kg,dimensions,image_url,product_type,manufacturer,warranty_months,moq,is_active,is_featured,created_at,updated_at
1,HYD-0001,"Hydraulic Power Unit 5000 HP",hydraulic-power-unit-5000-hp,"Professional grade Hydraulic Power Unit 5000 HP","Industrial Hydraulic Power Unit 5000 HP designed for extreme conditions.","","","",4,427091.00,EUR,5,14,500,"200x200x200",/assets/images/hydraulic-power-unit-5000-hp/hydraulic-power-unit-5000-hp-1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:47,2026-04-27 09:22:47
2,HEA-0002,"Heavy-Duty Hydraulic Cylinder 800-Ton",heavy-duty-hydraulic-cylinder-800-ton,"Professional grade Heavy-Duty Hydraulic Cylinder 800-Ton","Industrial Heavy-Duty Hydraulic Cylinder 800-Ton designed for extreme conditions.","","","",4,441516.00,EUR,5,14,500,"200x200x200",/assets/images/heavy-duty-hydraulic-cylinder-800-ton/heavy-duty-hydraulic-cylinder-800-ton-1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:47,2026-04-27 09:22:47
3,DIR-0003,"Directional Control Valve 4-Way",directional-control-valve-4-way,"Professional grade Directional Control Valve 4-Way","Industrial Directional Control Valve 4-Way designed for extreme conditions.","","","",1,338947.00,EUR,5,14,500,"200x200x200",/assets/images/directional-control-valve-4-way/directional-control-valve-4-way-1.jpg,hardware,Streicher,24,1,1,0,2026-04-27 09:22:47,2026-04-27 09:22:47
4,HYD-0004,"Hydraulic Accumulator 500L",hydraulic-accumulator-500l,"Professional grade Hydraulic Accumulator 500L","Industrial Hydraulic Accumulator 500L designed for extreme conditions.","","","",4,433525.00,EUR,5,14,500,"200x200x200",/assets/images/hydraulic-accumulator-500l/hydraulic-accumulator-500l-1.png,hardware,Streicher,24,1,1,1,2026-04-27 09:22:47,2026-04-27 09:22:47
5,HYD-0005,"Hydraulic Oil Cooler 1000kW",hydraulic-oil-cooler-1000kw,"Professional grade Hydraulic Oil Cooler 1000kW","Industrial Hydraulic Oil Cooler 1000kW designed for extreme conditions.","","","",4,436560.00,EUR,5,14,500,"200x200x200",/assets/images/hydraulic-oil-cooler-1000kw/hydraulic-oil-cooler-1000kw-1.png,hardware,Streicher,24,1,1,0,2026-04-27 09:22:47,2026-04-27 09:22:47
6,HIG-0006,"High-Pressure Filter Assembly",high-pressure-filter-assembly,"Professional grade High-Pressure Filter Assembly","Industrial High-Pressure Filter Assembly designed for extreme conditions.","","","",2,11735.00,EUR,5,14,500,"200x200x200",/assets/images/high-pressure-filter-assembly/high-pressure-filter-assembly-1.jpg,hardware,Streicher,24,1,1,0,2026-04-27 09:22:47,2026-04-27 09:22:47
7,HYD-0007,"Hydraulic Motor 750cc",hydraulic-motor-750cc,"Professional grade Hydraulic Motor 750cc","Industrial Hydraulic Motor 750cc designed for extreme conditions.","","","",4,331020.00,EUR,5,14,500,"200x200x200",/assets/images/hydraulic-motor-750cc/hydraulic-motor-750cc-1.webp,hardware,Streicher,24,1,1,0,2026-04-27 09:22:47,2026-04-27 09:22:47
8,VAR-0008,"Variable Displacement Pump 500cc",variable-displacement-pump-500cc,"Professional grade Variable Displacement Pump 500cc","Industrial Variable Displacement Pump 500cc designed for extreme conditions.","","","",2,143700.00,EUR,5,14,500,"200x200x200",/assets/images/variable-displacement-pump-500cc/variable-displacement-pump-500cc-1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:47,2026-04-27 09:22:47
9,CUS-0009,"Custom Hydraulic Manifold Block",custom-hydraulic-manifold-block,"Professional grade Custom Hydraulic Manifold Block","Industrial Custom Hydraulic Manifold Block designed for extreme conditions.","","","",4,236167.00,EUR,5,14,500,"200x200x200",/assets/images/custom-hydraulic-manifold-block/custom-hydraulic-manifold-block-1.jpg,hardware,Streicher,24,1,1,1,2026-04-27 09:22:47,2026-04-27 09:22:47
10,HIG-0010,"High-Pressure Hose Assembly Kit",high-pressure-hose-assembly-kit,"Professional grade High-Pressure Hose Assembly Kit","Industrial High-Pressure Hose Assembly Kit designed for extreme conditions.","","","",2,108023.00,EUR,5,14,500,"200x200x200",/assets/images/high-pressure-hose-assembly-kit/high-pressure-hose-assembly-kit-1.jpg,hardware,Streicher,24,1,1,0,2026-04-27 09:22:47,2026-04-27 09:22:47
